,dist_bin,commodty,use_rate_bin,sum_wt,Ur,Ut0,Ut1,pt0,pt1
100,200,"""20""",1000,1150.0,-6.74358729795,-2.1546752,-0.33808,0.989938355942,0.998350294292
101,200,"""20""",8000,7600.0,-53.9486983836,-61.3934016,-46.86064,0.000584188078232,0.999165679596
102,200,"""20""",25000,16826.0,-168.589682449,-205.25888,-159.844,1.18787255298e-16,0.999840878355
103,200,"""21""",100,77.4345833333,-16.0204039415,-6.18509333333,-3.77101333333,0.999946475129,0.999995211989
104,200,"""22""",100,1100.66934015,-2.9086908347,-3.73122592,-2.667968,0.305225796781,0.55989177282
105,200,"""22""",1000,1926.401,-29.086908347,-48.3102592,-37.67768,4.48130805095e-09,0.000185778129506
106,200,"""22""",2000,3593.646,-58.173816694,-97.8425184,-76.57736,5.91700239168e-18,1.01728511596e-08
107,200,"""23""",100,1267.45720704,-1.04340841855,1.76344128,2.046912,0.943044848501,0.956491701318
108,200,"""24""",100,3651.41889504,-0.444457085826,0.53167968,0.668272,0.726340994053,0.752637547236
109,200,"""24""",1000,3661.12730225,-4.44457085826,-5.1952032,-3.82928,0.32068353234,0.649146771611
110,200,"""24""",2000,2600.0,-8.88914171652,-11.5584064,-8.82656,0.0648115226093,0.515640324891
111,200,"""24""",50000,73400.0,-222.228542913,-316.99216,-248.696,6.99332986849e-42,3.20132257474e-12
112,200,"""25""",100,532.950287356,-0.220066255591,3.18009568,3.276672,0.967709595805,0.970594820138
113,200,"""25""",1000,857.643436659,-2.20066255591,-0.8690432,0.09672,0.791108369087,0.908660031279
114,200,"""26""",100,4782.95567697,-1.16901840654,0.61486208,0.974232,0.856175366313,0.895036366376
115,200,"""26""",1000,2085.41765259,-11.6901840654,-14.4523792,-10.85868,0.0594015984257,0.696672862586
116,200,"""26""",2000,2861.0452381,-23.3803681308,-31.1937584,-24.00636,0.000404121706117,0.34841992389
117,200,"""26""",8000,5383.56374701,-93.5214725231,-131.6420336,-102.89244,2.7825993366e-17,8.51537055226e-05
118,200,"""27""",100,7528.47026878,-1.74276613565,1.79136928,2.263112,0.971643575185,0.982117320186
119,200,"""27""",1000,2289.83468797,-17.4276613565,-17.9873072,-13.26988,0.363629408647,0.984598686821
120,200,"""31""",100,466.445833333,-1.07458863407,1.47744928,1.913112,0.927710304278,0.952015379399
121,200,"""31""",8000,5800.0,-85.9670907255,-158.8570576,-124.00404,2.20947758623e-32,3.02526081123e-17
122,200,"""32""",100,3347.86574328,-0.161022205662,1.88956608,1.947832,0.886007048218,0.891760786808
123,200,"""32""",1000,1236.33074646,-1.61022205662,-0.5533392,0.02932,0.742094404655,0.837472615356
124,200,"""33""",100,200.0,-1.78941185776,1.99642848,2.339792,0.97781361665,0.984159279124
125,200,"""33""",1000,3370.0,-17.8941185776,-12.3997152,-8.96608,0.995907112892,0.999867399696
126,200,"""37""",100,162.5,-26.9862279937,-12.4525273333,-9.02558333333,0.999999512366,0.999999984159
127,200,"""41""",100,7444.85693873,-0.18819410818,2.76580608,2.838832,0.950452208337,0.953780250225
128,200,"""41""",1000,2539.16547986,-1.8819410818,-0.2959392,0.43432,0.830052852074,0.910214850442
129,200,"""41""",2000,8600.0,-3.7638821636,-3.6978784,-2.23736,0.516494952983,0.821496895267
130,200,"""41""",8000,7100.0,-15.0555286544,-24.1095136,-18.26744,0.000116910501194,0.0387199300873
131,200,"""43""",100,81.5,-2.18509684679,4.01178528,4.525512,0.997968367913,0.99878355916
132,200,"""43""",25000,36185.0,-546.274211697,-591.89868,-463.467,1.53301066535e-20,1.0
133,200,"""43""",100000,81350.0,-2185.09684679,-2386.80972,-1873.083,2.49581410888e-88,1.0
134,400,"""02""",100,3232.8368646,-0.964507033184,-0.51191776,0.04856228,0.611254680195,0.733620389001
135,400,"""02""",1000,8736.603,-9.64507033184,-23.3351776,-17.7303772,1.13360424739e-06,0.000307937150469
136,400,"""02""",2000,22027.239,-19.2901406637,-48.6943552,-37.4847544,1.69789911585e-13,1.25365965152e-08
137,400,"""02""",8000,97482.186,-77.1605626547,-200.8494208,-156.0110176,1.91695286606e-54,5.69747622663e-35
138,400,"""02""",25000,112578.299,-241.126758296,-631.95544,-491.83543,1.84187505625e-170,1.31403615173e-109
139,400,"""03""",100,198.0,-0.0821500494714,3.16813184,3.21827348,0.962683240636,0.964443337421
140,400,"""03""",2000,2772.485,-1.64300098943,-1.1423632,-0.1395304,0.622609202375,0.818091531891
141,400,"""03""",8000,10865.901,-6.57200395772,-14.7544528,-10.7431216,0.000279438501543,0.0152003817841
142,400,"""04""",1000,855.0,-14.7277260897,-40.6161296,-31.0202212,5.71227635661e-12,8.39961229695e-08
143,400,"""05""",100,207.07,-0.352311911424,4.90294944,5.10298068,0.99480712485,0.995744559987
144,400,"""05""",1000,1609.09933333,-3.52311911424,-3.2425056,-1.2421932,0.569696628707,0.907284963202
145,400,"""06""",100,1262.97770259,-0.149079997207,1.86235104,1.94758588,0.881992048951,0.890578697121
146,400,"""07""",100,1164.67338173,-0.281327819571,2.46702864,2.61665058,0.939820461696,0.947746411472
147,400,"""11""",100,209.28,-0.406683646338,2.20120704,2.39499288,0.93136768752,0.942766353216
148,400,"""11""",1000,630.958368636,-4.06683646338,-5.6899296,-3.7520712,0.164778730485,0.578047979673
149,400,"""12""",100,299.639333333,-0.113063478351,1.79157424,1.90372378,0.870415523969,0.882548395925
150,400,"""12""",25000,25519.979,-28.2658695877,-124.55744,-96.520055,1.51740781394e-42,2.27815835501e-30
151,400,"""14""",100,107.975,-99.0,-99.0,-99.0,-99.0,-99.0
152,400,"""15""",100,108.55,,,,,
153,400,"""17""",100,1658.78132329,-1.04988499345,1.79412864,2.29691308,0.945008413688,0.965999828024
