,,0,1
"(35.1648191, -94.5485543)","(38.7477661, -105.1499801)",12 hours 47 mins,827.5
"(35.1648191, -94.5485543)","(39.3047907, -102.2692394)",9 hours 28 mins,655.625
"(35.1648191, -94.5485543)","(39.350833, -101.7101722)",9 hours 5 mins,626.25
"(35.1648191, -94.5485543)","(39.3855585, -101.1948806)",8 hours 41 mins,598.75
"(35.1648191, -94.5485543)","(43.165548, -89.9129013)",11 hours 35 mins,778.125
"(35.199458, -111.6514259)","(33.227345, -88.2664225)",22 hours 11 mins,1534.375
"(35.199458, -111.6514259)","(35.6056311, -119.2177557)",7 hours 31 mins,503.75
"(35.199458, -111.6514259)","(39.571543, -97.661141)",15 hours 8 mins,1011.25
"(35.2035819, -90.3479402)","(39.571543, -97.661141)",10 hours 10 mins,705.0
"(35.2072185, -101.8338246)","(33.227345, -88.2664225)",13 hours 33 mins,926.25
"(35.2270869, -80.8431268)","(35.2951421, -79.7453164)",1 hour 36 mins,71.875
"(35.2270869, -80.8431268)","(39.2860997, -103.2754955)",21 hours 12 mins,1458.75
"(35.2270869, -80.8431268)","(39.3666687, -101.3768295)",19 hours 47 mins,1357.5
"(35.2617178, -101.6229553)","(33.227345, -88.2664225)",13 hours 24 mins,915.625
"(35.262082, -81.1873005)","(35.2273656, -80.5006219)",54 mins,51.375
"(35.2767186, -99.1350805)","(36.3967623, -97.8791341)",2 hours 27 mins,141.25
"(35.2784173, -93.1337856)","(42.6829765, -89.0226793)",10 hours 44 mins,693.75
"(35.285466, -76.647473)","(38.8783801, -87.0858431)",12 hours 46 mins,810.0
"(35.285466, -76.647473)","(43.165548, -89.9129013)",17 hours 32 mins,1140.0
"(35.285466, -76.647473)","(43.8424502, -88.8372972)",17 hours 27 mins,1137.5
"(35.2917033, -98.9966972)","(36.3735486, -97.7845975)",2 hours 23 mins,138.125
"(35.2917033, -98.9966972)","(40.9678345, -74.0563254)",23 hours 11 mins,1580.0
"(35.2917033, -98.9966972)","(43.2144051, -75.4039155)",22 hours 25 mins,1533.125
"(35.2917033, -98.9966972)","(45.3057015, -74.63311934)",1 day 1 hour,1675.625
"(35.2917033, -98.9966972)","(45.5093799, -122.4006413)",1 day 3 hours,1793.75
"(35.296462, -84.7479962)","(43.3177776, -88.378857)",11 hours 7 mins,743.75
"(35.296462, -84.7479962)","(43.4704014, -89.7437844)",11 hours 57 mins,805.0
"(35.2981943, -81.0159081)","(35.2273656, -80.5006219)",44 mins,40.625
"(35.3236458, -84.5248279)","(31.9729271, -87.5224982)",5 hours 19 mins,341.25
"(35.362623, -81.835657)","(44.0206919, -88.5408574)",13 hours 27 mins,895.0
"(35.3738712, -119.0194639)","(19.6685386, -99.2012893)",1 day 9 hours,1922.5
"(35.3738712, -119.0194639)","(29.7589382, -95.3676974)",23 hours 47 mins,1668.75
"(35.3738712, -119.0194639)","(35.3738712, -119.0194639)",1 min,0.625
"(35.3738712, -119.0194639)","(42.6829765, -89.0226793)",1 day 5 hours,2025.0
"(35.3738712, -119.0194639)","(43.074761, -89.3837613)",1 day 5 hours,2005.625
"(35.3738712, -119.0194639)","(44.4567705, -78.7359702)",1 day 14 hours,2624.375
"(35.3738712, -119.0194639)","(44.5126379, -88.0125794)",1 day 7 hours,2143.125
"(35.3738712, -119.0194639)","(49.163168, -123.137414)",18 hours 9 mins,1171.875
"(35.3994055, -119.4084485)","(30.3321838, -81.655651)",1 day 12 hours,2554.375
"(35.3994055, -119.4084485)","(35.2784173, -93.1337856)",23 hours 55 mins,1645.625
"(35.3994055, -119.4084485)","(35.7050778, -89.969532)",1 day 3 hours,1886.875
"(35.3994055, -119.4084485)","(35.9670412, -83.1876578)",1 day 9 hours,2289.375
"(35.3994055, -119.4084485)","(37.2166779, -93.2920373)",1 day 0 hours,1667.5
"(35.3994055, -119.4084485)","(40.4344895, -84.9777455)",1 day 8 hours,2218.75
"(35.3994055, -119.4084485)","(40.518681, -78.394736)",1 day 14 hours,2586.25
"(35.3994055, -119.4084485)","(42.6016814, -88.7076041)",1 day 6 hours,2058.125
"(35.3994055, -119.4084485)","(43.157285, -77.615214)",1 day 15 hours,2663.125
"(35.4020838, -79.7842049)","(35.131547, -79.4294789)",42 mins,33.62499999999999
"(35.4119944, -99.4042592)","(37.7306054, -88.9331256)",10 hours 29 mins,710.0
"(35.4119944, -99.4042592)","(40.4656244, -80.0656106)",17 hours 54 mins,1215.625
"(35.4119944, -99.4042592)","(43.9792797, -120.737257)",1 day 1 hour,1642.5
"(35.4729886, -97.5170536)","(39.7683331, -86.1583502)",10 hours 53 mins,743.75
"(35.4959148, -89.5089638)","(36.7295295, -119.7088613)",1 day 5 hours,1969.375
"(35.4993031, -80.8486846)","(30.6943566, -88.0430541)",8 hours 34 mins,588.75
"(35.4993031, -80.8486846)","(35.2598655, -80.4253426)",46 mins,42.87499999999999
"(35.4993031, -80.8486846)","(42.8334738, -89.06949)",13 hours 13 mins,866.25
"(35.4993031, -80.8486846)","(43.1834579, -89.2134359)",13 hours 41 mins,898.75
"(35.5035863, -94.7360577)","(35.2496723, -99.6946079)",4 hours 28 mins,299.375
"(35.5261633, -98.7075744)","(36.3967623, -97.8791341)",1 hour 48 mins,102.5
"(35.5829914, -78.3554751)","(39.3666687, -101.3768295)",21 hours 40 mins,1493.125
"(35.5829914, -78.3554751)","(39.3855585, -101.1948806)",21 hours 32 mins,1483.125
"(35.5848596, -80.8100724)","(39.350833, -101.7101722)",19 hours 59 mins,1380.0
"(35.5848596, -80.8100724)","(39.471671, -100.743482)",19 hours 33 mins,1341.25
"(35.5848596, -80.8100724)","(39.540837, -100.567644)",19 hours 31 mins,1338.75
"(35.6286063, -99.0092034)","(35.1908795, -94.798813)",4 hours 9 mins,273.75
"(35.6286063, -99.0092034)","(36.3735486, -97.7845975)",2 hours 4 mins,113.125
"(35.6319907, -79.75928032)","(27.7458626, -81.5306313)",9 hours 38 mins,630.625
"(35.6319907, -79.75928032)","(28.3045305, -97.2745885)",18 hours 49 mins,1294.375
"(35.6319907, -79.75928032)","(29.2560731, -98.3327903)",19 hours 19 mins,1325.0
"(35.6319907, -79.75928032)","(32.2218917, -110.9262353)",1 day 6 hours,2073.125
"(35.6319907, -79.75928032)","(32.2862317, -104.095773)",23 hours 15 mins,1576.25
"(35.6319907, -79.75928032)","(32.3293111, -96.6252679)",16 hours 33 mins,1116.25
"(35.6319907, -79.75928032)","(32.4207262, -104.2287757)",23 hours 10 mins,1577.5
"(35.6319907, -79.75928032)","(33.443165, -102.084681)",21 hours 29 mins,1475.625
"(35.6319907, -79.75928032)","(33.5778631, -101.8551665)",21 hours 18 mins,1464.375
"(35.6319907, -79.75928032)","(33.5873164, -102.37796)",21 hours 48 mins,1495.625
"(35.6319907, -79.75928032)","(35.4729886, -97.5170536)",17 hours 11 mins,1150.0
"(35.6319907, -79.75928032)","(35.8831786, -80.081817)",46 mins,32.3125
"(35.6319907, -79.75928032)","(36.2758728, -99.8812321)",19 hours 48 mins,1311.875
"(35.6319907, -79.75928032)","(39.5364511, -83.4390843)",6 hours 37 mins,416.25
"(35.6319907, -79.75928032)","(39.6419219, -77.7202641)",5 hours 43 mins,356.875
"(35.6319907, -79.75928032)","(39.6884134, -79.9800626)",6 hours 7 mins,384.375
"(35.6319907, -79.75928032)","(39.8691523, -104.8913653)",23 hours 40 mins,1630.625
"(35.6319907, -79.75928032)","(40.4774818, -104.9013617)",1 day 0 hours,1676.25
"(35.6319907, -79.75928032)","(41.0544276, -104.895525)",1 day 1 hour,1681.875
"(35.6319907, -79.75928032)","(42.1250929, -72.7495381)",11 hours 16 mins,725.0
"(35.6319907, -79.75928032)","(42.30423, -83.029861)",10 hours 12 mins,636.875
"(35.6319907, -79.75928032)","(42.7533685, -84.7463757)",10 hours 58 mins,700.0
"(35.6319907, -79.75928032)","(42.7596536, -105.3822164)",1 day 2 hours,1778.125
"(35.6319907, -79.75928032)","(42.957466, -106.4500329)",1 day 3 hours,1845.0
"(35.6319907, -79.75928032)","(45.143731, -122.8553725)",1 day 18 hours,2858.75
"(35.6319907, -79.75928032)","(45.3784271, -73.6145914)",13 hours 56 mins,922.5
"(35.6319907, -79.75928032)","(45.5112881, -73.5780124)",14 hours 16 mins,931.25
"(35.6319907, -79.75928032)","(46.7204489, -122.9614303)",1 day 18 hours,2910.625
"(35.6319907, -79.75928032)","(48.317241, -102.390452)",1 day 2 hours,1732.5
"(35.6319907, -79.75928032)","(50.8516661, -113.4684345)",1 day 11 hours,2339.375
"(35.6385545, -99.0001085)","(35.1908795, -94.798813)",4 hours 4 mins,274.375
"(35.6385545, -99.0001085)","(36.3735486, -97.7845975)",1 hour 59 mins,111.25
"(35.6385545, -99.0001085)","(41.8444735, -90.1887379)",11 hours 59 mins,815.625
"(35.6459769, -79.4144654)","(39.783235, -97.894926)",18 hours 47 mins,1258.125
"(35.6678204, -101.3973876)","(39.7683331, -86.1583502)",14 hours 24 mins,977.5
"(35.6726584, -77.9483186)","(44.0206919, -88.5408574)",15 hours 52 mins,1043.75
"(35.7050778, -89.969532)","(43.4513836, -88.6312139)",9 hours 6 mins,619.375
"(35.7506938, -80.3178306)","(44.0206919, -88.5408574)",14 hours 6 mins,920.0
"(35.769799, -91.6409722)","(35.4119944, -99.4042592)",7 hours 36 mins,491.875
"(35.7826363, -80.8872959)","(39.783235, -97.894926)",17 hours 28 mins,1171.25
"(35.783842, -119.1195485)","(30.6943566, -88.0430541)",1 day 7 hours,2085.0
"(35.783842, -119.1195485)","(35.5156056, -98.9673069)",18 hours 56 mins,1303.125
"(35.783842, -119.1195485)","(47.920575, -104.0310439)",23 hours 11 mins,1581.875
"(35.8970899, -98.4225961)","(33.34883, -112.49123)",14 hours 27 mins,964.375
"(35.8970899, -98.4225961)","(33.7575613, -84.2186508)",13 hours 46 mins,936.875
"(35.8970899, -98.4225961)","(34.0536909, -118.2427666)",19 hours 0 mins,1305.0
"(35.8970899, -98.4225961)","(38.7184542, -121.9059001)",23 hours 52 mins,1630.0
"(35.8970899, -98.4225961)","(40.6632297, -111.9103124)",16 hours 27 mins,1093.125
"(35.8970899, -98.4225961)","(45.2298399, -123.2180414)",1 day 4 hours,1865.0
"(35.8970899, -98.4225961)","(45.4868491, -111.1967693)",19 hours 46 mins,1298.75
"(35.8970899, -98.4225961)","(45.5093799, -122.4006413)",1 day 3 hours,1805.0
"(35.8970899, -98.4225961)","(46.8700801, -113.9952796)",21 hours 14 mins,1470.625
"(35.8970899, -98.4225961)","(47.4873376, -121.8622122)",1 day 4 hours,1871.25
"(35.9213823, -89.8113569)","(33.5634478, -88.0814159)",4 hours 11 mins,261.25
"(35.9213823, -89.8113569)","(35.3738712, -119.0194639)",1 day 3 hours,1874.375
"(35.9253507, -91.9407041)","(35.4119944, -99.4042592)",7 hours 42 mins,489.375
"(35.9603948, -83.9210261)","(33.4956744, -88.4272627)",5 hours 38 mins,378.75
"(35.9670412, -83.1876578)","(35.3994055, -119.4084485)",1 day 9 hours,2283.125
"(36.0167027, -101.824616)","(39.350833, -101.7101722)",4 hours 0 mins,246.25
"(36.0211715, -87.9669765)","(34.8092656, -90.1753722)",2 hours 47 mins,182.5
"(36.0272534, -101.9994307)","(33.227345, -88.2664225)",14 hours 12 mins,956.875
"(36.0594772, -102.5132497)","(43.6191633, -87.9520364)",17 hours 3 mins,1135.0
"(36.1481438, -95.8741404)","(47.920575, -104.0310439)",18 hours 10 mins,1173.125
"(36.1556805, -95.9929113)","(30.6943566, -88.0430541)",11 hours 22 mins,720.0
"(36.1556805, -95.9929113)","(43.3177776, -88.378857)",11 hours 34 mins,788.75
"(36.1622296, -86.7743531)","(43.8424502, -88.8372972)",9 hours 47 mins,653.125
"(36.2055669, -120.1253516)","(30.3321838, -81.655651)",1 day 13 hours,2624.375
"(36.2055669, -120.1253516)","(37.2166779, -93.2920373)",1 day 1 hour,1732.5
"(36.2055669, -120.1253516)","(38.8402805, -97.6114237)",22 hours 42 mins,1567.5
"(36.2055669, -120.1253516)","(39.7589478, -84.1916069)",1 day 10 hours,2306.875
"(36.2055669, -120.1253516)","(40.4344895, -84.9777455)",1 day 9 hours,2284.375
"(36.2055669, -120.1253516)","(40.518681, -78.394736)",1 day 15 hours,2651.875
"(36.2055669, -120.1253516)","(40.742551, -84.1052256)",1 day 10 hours,2365.0
"(36.2055669, -120.1253516)","(41.863701, -88.0022296)",1 day 7 hours,2120.625
"(36.2055669, -120.1253516)","(41.9172526, -87.8956185)",1 day 7 hours,2128.75
"(36.2055669, -120.1253516)","(42.6016814, -88.7076041)",1 day 7 hours,2123.125
"(36.2055669, -120.1253516)","(43.157285, -77.615214)",1 day 16 hours,2728.75
"(36.2055669, -120.1253516)","(53.535411, -113.507996)",1 day 2 hours,1622.5
"(36.3084275, -95.3169136)","(38.7477661, -105.1499801)",11 hours 36 mins,770.0
"(36.3084275, -95.3169136)","(39.3047907, -102.2692394)",8 hours 9 mins,573.125
"(36.3084275, -95.3169136)","(39.3394436, -101.889344)",7 hours 52 mins,552.5
"(36.3084275, -95.3169136)","(39.350833, -101.7101722)",7 hours 46 mins,543.75
"(36.3466619, -119.4204921)","(27.8002542, -97.3955744)",23 hours 59 mins,1690.625
"(36.3466619, -119.4204921)","(36.7295295, -119.7088613)",34 mins,32.99999999999999
"(36.3735486, -97.7845975)","(34.3835721, -98.9354765)",3 hours 12 mins,203.125
"(36.3735486, -97.7845975)","(35.2917033, -98.9966972)",2 hours 24 mins,137.5
"(36.3735486, -97.7845975)","(35.6286063, -99.0092034)",2 hours 5 mins,113.125
"(36.3735486, -97.7845975)","(35.6385545, -99.0001085)",2 hours 0 mins,111.25
"(36.3735486, -97.7845975)","(36.2860458, -98.4995602)",56 mins,47.4375
"(36.3843211, -76.8880131)","(44.0206919, -88.5408574)",16 hours 48 mins,1086.25
"(36.3860729, -87.6477213)","(30.421309, -87.2169149)",7 hours 33 mins,493.125
"(36.3967623, -97.8791341)","(39.3386105, -101.815453)",6 hours 11 mins,393.75
"(36.3967623, -97.8791341)","(43.3177776, -88.378857)",12 hours 53 mins,869.375
"(36.4358705, -99.4526103)","(39.3047907, -102.2692394)",5 hours 10 mins,335.0
"(36.4358705, -99.4526103)","(43.165548, -89.9129013)",12 hours 55 mins,865.625
"(36.5157803, -118.9026011)","(43.2286174, -88.1103691)",1 day 8 hours,2189.375
"(36.550238, -82.5594293)","(43.0785747, -89.1988571)",11 hours 21 mins,725.625
"(36.550238, -82.5594293)","(43.7486054, -87.977038)",11 hours 31 mins,730.0
"(36.583207, -77.1999675)","(36.7295295, -119.7088613)",1 day 17 hours,2770.0
"(36.583207, -77.1999675)","(44.0206919, -88.5408574)",16 hours 13 mins,1058.125
"(36.6485623, -87.1661261)","(30.421309, -87.2169149)",7 hours 21 mins,493.75
"(36.6485623, -87.1661261)","(35.2951421, -79.7453164)",8 hours 21 mins,537.5
"(36.6485623, -87.1661261)","(42.6727927, -88.5445447)",8 hours 9 mins,563.125
"(36.6485623, -87.1661261)","(43.0123487, -89.2897646)",8 hours 28 mins,581.25
"(36.6915262, -79.8725386)","(35.2951421, -79.7453164)",1 hour 48 mins,110.0
"(36.7183708, -76.2466798)","(35.2951421, -79.7453164)",4 hours 20 mins,270.0
"(36.7295295, -119.7088613)","(27.8953038, -81.9734172)",1 day 15 hours,2704.375
"(36.7295295, -119.7088613)","(31.8912717, -85.1454876)",1 day 10 hours,2301.25
"(36.7295295, -119.7088613)","(34.154389, -79.69223)",1 day 14 hours,2608.125
"(36.7295295, -119.7088613)","(35.3738712, -119.0194639)",1 hour 42 mins,107.5
"(36.7295295, -119.7088613)","(36.7295295, -119.7088613)",1 min,0.625
"(36.7295295, -119.7088613)","(38.2542376, -85.759407)",1 day 8 hours,2219.375
"(36.7295295, -119.7088613)","(39.9622601, -83.0007065)",1 day 10 hours,2378.125
"(36.7295295, -119.7088613)","(42.992595, -82.380981)",1 day 12 hours,2478.75
"(36.7295295, -119.7088613)","(43.074761, -89.3837613)",1 day 7 hours,2113.125
"(36.7468036, -79.4639158)","(43.1769367, -90.0680478)",14 hours 49 mins,929.375
"(36.7468036, -79.4639158)","(43.2286174, -88.1103691)",13 hours 37 mins,854.375
"(36.7468036, -79.4639158)","(43.5324809, -90.0026259)",14 hours 56 mins,947.5
"(36.7468036, -79.4639158)","(43.55222, -87.9617585)",13 hours 50 mins,871.875
"(36.7468036, -79.4639158)","(43.6191633, -87.9520364)",13 hours 54 mins,876.25
"(36.7468036, -79.4639158)","(43.7291617, -87.8106439)",14 hours 3 mins,888.75
"(36.7468036, -79.4639158)","(43.7352624, -88.7812212)",14 hours 28 mins,913.125
"(36.7468036, -79.4639158)","(43.911372, -88.7298326)",14 hours 31 mins,917.5
"(36.8657651, -87.4889532)","(35.2951421, -79.7453164)",8 hours 35 mins,561.25
"(36.9092773, -121.7529071)","(42.6016814, -88.7076041)",1 day 8 hours,2206.875
"(37.0333896, -88.3500362)","(36.7295295, -119.7088613)",1 day 6 hours,2057.5
"(37.0333896, -88.3500362)","(39.4667025, -87.4139119)",3 hours 42 mins,251.875
"(37.0333896, -88.3500362)","(42.6829765, -89.0226793)",6 hours 49 mins,471.25
"(37.0333896, -88.3500362)","(43.0349931, -87.922497)",7 hours 4 mins,486.25
"(37.0372999, -95.6163634)","(38.7477661, -105.1499801)",10 hours 33 mins,687.5
"(37.0372999, -95.6163634)","(38.8402805, -97.6114237)",3 hours 29 mins,225.625
"(37.0372999, -95.6163634)","(39.3047907, -102.2692394)",7 hours 6 mins,490.0
"(37.0372999, -95.6163634)","(39.3394436, -101.889344)",6 hours 50 mins,470.0
"(37.0372999, -95.6163634)","(39.350833, -101.7101722)",6 hours 44 mins,460.625
"(37.0372999, -95.6163634)","(39.3855585, -101.1948806)",6 hours 20 mins,433.125
"(37.0372999, -95.6163634)","(39.458684, -98.108282)",4 hours 21 mins,286.25
"(37.0372999, -95.6163634)","(39.756121, -99.323985)",5 hours 39 mins,366.25
"(37.0372999, -95.6163634)","(43.165548, -89.9129013)",9 hours 42 mins,638.125
"(37.0430812, -100.920999)","(33.227345, -88.2664225)",13 hours 57 mins,924.375
"(37.0592253, -120.8505342)","(42.6016814, -88.7076041)",1 day 7 hours,2165.625
"(37.0622562, -97.0388338)","(34.6381255, -99.3339754)",4 hours 5 mins,273.125
"(37.0833893, -88.6000478)","(42.6829765, -89.0226793)",6 hours 38 mins,451.875
"(37.1243164, -77.2258062)","(44.0206919, -88.5408574)",15 hours 26 mins,1016.25
"(37.1692278, -94.8441239)","(43.5324809, -90.0026259)",9 hours 49 mins,638.75
"(37.1837608, -77.3202559)","(44.0206919, -88.5408574)",15 hours 21 mins,1010.0
"(37.2175425, -87.0488847)","(30.820742, -88.0705556)",7 hours 51 mins,523.75
"(37.240158, -86.673921)","(35.2951421, -79.7453164)",8 hours 48 mins,545.0
"(37.2708788, -76.7074042)","(43.542207, -89.1073356)",15 hours 42 mins,1038.125
"(37.2738215, -79.96020215)","(33.5206824, -86.8024326)",7 hours 35 mins,518.75
"(37.3058839, -89.5181476)","(43.5324809, -90.0026259)",7 hours 54 mins,533.75
"(37.3603272, -90.6976197)","(39.756121, -99.323985)",9 hours 54 mins,639.375
"(37.4376116, -81.8048366)","(44.0206919, -88.5408574)",12 hours 12 mins,753.125
"(37.4785004, -121.9515622)","(43.0349931, -87.922497)",1 day 8 hours,2200.0
"(37.527434, -82.800169)","(39.00871, -87.7523336)",5 hours 59 mins,360.625
"(37.527434, -82.800169)","(43.0123487, -89.2897646)",9 hours 48 mins,641.875
"(37.5315303, -76.7963566)","(43.2286174, -88.1103691)",14 hours 28 mins,945.0
"(37.5385087, -77.43428)","(31.9729271, -87.5224982)",11 hours 40 mins,784.375
"(37.5385087, -77.43428)","(43.7291617, -87.8106439)",14 hours 27 mins,948.125
"(37.559924, -79.048762)","(39.4667025, -87.4139119)",9 hours 42 mins,610.625
"(37.559924, -79.048762)","(39.7683331, -86.1583502)",8 hours 34 mins,533.75
"(37.559924, -79.048762)","(43.074761, -89.3837613)",13 hours 33 mins,867.5
"(37.6390972, -120.9968782)","(43.4942003, -88.5448278)",1 day 7 hours,2147.5
"(37.6390972, -120.9968782)","(43.8424502, -88.8372972)",1 day 7 hours,2167.5
"(37.6448148, -97.4641388)","(35.6385545, -99.0001085)",3 hours 28 mins,198.75
"(37.6739325, -87.5466747)","(38.8402805, -97.6114237)",9 hours 9 mins,613.125
"(37.67505065, -97.2873927)","(38.8402805, -97.6114237)",1 hour 22 mins,91.875
"(37.6774238, -113.0618277)","(39.350833, -101.7101722)",11 hours 17 mins,778.75
"(37.6922361, -97.3375448)","(35.5156056, -98.9673069)",3 hours 38 mins,246.25
"(37.6922361, -97.3375448)","(39.756121, -99.323985)",3 hours 31 mins,231.25
"(37.6922361, -97.3375448)","(42.6829765, -89.0226793)",10 hours 18 mins,710.0
"(37.6922361, -97.3375448)","(42.7755645, -88.943999)",10 hours 24 mins,716.875
"(37.7072469, -99.8943146)","(35.6385545, -99.0001085)",3 hours 6 mins,180.625
"(37.7527982, -100.0170787)","(33.227345, -88.2664225)",13 hours 54 mins,921.875
"(37.7974273, -120.9966033)","(42.6016814, -88.7076041)",1 day 6 hours,2103.125
"(37.7974273, -120.9966033)","(43.4577692, -88.837329)",1 day 7 hours,2122.5
"(37.81724, -96.8622524)","(39.350833, -101.7101722)",4 hours 49 mins,337.5
"(37.8367513, -87.5907631)","(35.2951421, -79.7453164)",9 hours 37 mins,631.875
"(37.879248, -83.8735308)","(43.0123487, -89.2897646)",8 hours 24 mins,561.25
"(37.9034806, -121.9175345)","(35.6385545, -99.0001085)",22 hours 48 mins,1539.375
"(37.9396795, -87.8952993)","(38.7477661, -105.1499801)",15 hours 29 mins,1040.0
"(37.9396795, -87.8952993)","(39.2860997, -103.2754955)",12 hours 48 mins,897.5
"(37.9396795, -87.8952993)","(39.3047907, -102.2692394)",12 hours 2 mins,842.5
"(37.9396795, -87.8952993)","(39.3330542, -102.0379596)",11 hours 50 mins,830.0
"(37.9396795, -87.8952993)","(39.350833, -101.7101722)",11 hours 39 mins,813.125
"(37.9396795, -87.8952993)","(39.3666687, -101.3768295)",11 hours 24 mins,795.625
"(37.9396795, -87.8952993)","(39.503235, -98.542957)",9 hours 43 mins,645.0
"(37.9396795, -87.8952993)","(39.7650117, -98.9195242)",10 hours 20 mins,679.375
"(37.9737343, -122.1389088)","(38.8911588, -86.9038938)",1 day 9 hours,2275.0
"(37.9850091, -103.5438321)","(39.783235, -97.894926)",6 hours 13 mins,390.625
"(37.9861353, -100.9893331)","(33.227345, -88.2664225)",14 hours 59 mins,986.25
"(37.990079, -84.1796503)","(42.6330703, -88.6437138)",7 hours 30 mins,493.125
"(37.9974219, -121.7124536)","(35.2951421, -79.7453164)",1 day 17 hours,2775.625
"(38.0, -121.4)","(43.074761, -89.3837613)",1 day 6 hours,2066.25
"(38.00642, -89.54231)","(35.4119944, -99.4042592)",10 hours 0 mins,670.0
"(38.00642, -89.54231)","(39.7683331, -86.1583502)",4 hours 6 mins,261.25
"(38.0350094, -98.718816)","(33.227345, -88.2664225)",12 hours 58 mins,874.375
"(38.0469166, -97.3447244)","(30.3321838, -81.655651)",19 hours 15 mins,1331.875
"(38.0469166, -97.3447244)","(39.2930463, -103.0671582)",5 hours 13 mins,371.875
"(38.0469166, -97.3447244)","(39.3330542, -102.0379596)",4 hours 25 mins,315.625
"(38.0469166, -97.3447244)","(39.3394436, -101.889344)",4 hours 21 mins,308.125
"(38.0469166, -97.3447244)","(39.350833, -101.7101722)",4 hours 14 mins,298.75
"(38.0469166, -97.3447244)","(39.3666687, -101.3768295)",3 hours 59 mins,281.25
"(38.0469166, -97.3447244)","(39.571543, -97.661141)",1 hour 41 mins,113.125
"(38.0469166, -97.3447244)","(39.783235, -97.894926)",2 hours 8 mins,140.0
"(38.0469166, -97.3447244)","(39.8246673, -97.6325554)",1 hour 58 mins,131.25
"(38.0608444, -97.9297743)","(35.3738712, -119.0194639)",20 hours 55 mins,1380.625
"(38.0608444, -97.9297743)","(44.0206919, -88.5408574)",12 hours 8 mins,798.125
"(38.0843677, -89.4390188)","(35.4119944, -99.4042592)",9 hours 58 mins,670.0
"(38.0843677, -89.4390188)","(39.7683331, -86.1583502)",3 hours 55 mins,250.625
"(38.2120144, -85.2235666)","(43.1753733, -89.7960089)",7 hours 43 mins,503.75
"(38.2500481, -89.7500988)","(39.7683331, -86.1583502)",4 hours 1 min,256.875
"(38.2542376, -85.759407)","(31.9729271, -87.5224982)",7 hours 24 mins,496.25
"(38.2542376, -85.759407)","(35.3738712, -119.0194639)",1 day 7 hours,2112.5
"(38.2542376, -85.759407)","(43.0349931, -87.922497)",6 hours 0 mins,397.5
"(38.2770227, -85.7371604)","(35.3738712, -119.0194639)",1 day 7 hours,2115.0
"(38.2770227, -85.7371604)","(43.4513836, -88.6312139)",6 hours 48 mins,445.625
"(38.3394806, -103.8263042)","(43.1683286, -89.0667775)",15 hours 36 mins,1013.125
"(38.3394806, -103.8263042)","(43.1816612, -89.1034449)",15 hours 35 mins,1012.5
"(38.3553236, -87.5675223)","(43.0349931, -87.922497)",6 hours 6 mins,361.25
"(38.3567493, -82.5929364)","(39.7683331, -86.1583502)",4 hours 18 mins,257.5
"(38.3969108, -113.0107892)","(39.2648545, -103.6931237)",9 hours 34 mins,649.375
"(38.4011434, -82.5769366)","(39.7683331, -86.1583502)",4 hours 16 mins,255.0
"(38.4048042, -82.6004369)","(39.00871, -87.7523336)",5 hours 33 mins,349.375
"(38.4087993, -121.3716178)","(39.2648545, -103.6931237)",18 hours 22 mins,1263.125
"(38.4733823, -77.9961275)","(39.350833, -101.7101722)",21 hours 19 mins,1455.625
"(38.4733823, -77.9961275)","(39.3666687, -101.3768295)",21 hours 4 mins,1438.125
"(38.4733823, -77.9961275)","(39.503235, -98.542957)",19 hours 23 mins,1287.5
"(38.4733823, -77.9961275)","(39.540837, -100.567644)",20 hours 51 mins,1415.0
"(38.4733823, -77.9961275)","(39.7983453, -98.6761812)",19 hours 47 mins,1308.75
"(38.4733823, -77.9961275)","(39.809734, -98.55562)",19 hours 42 mins,1308.125
"(38.5321289, -121.4088418)","(43.0785747, -89.1988571)",1 day 5 hours,2030.625
"(38.5880306, -90.1387881)","(38.8402805, -97.6114237)",6 hours 24 mins,431.25
"(38.5880306, -90.1387881)","(39.3394436, -101.889344)",9 hours 43 mins,673.75
"(38.5880306, -90.1387881)","(39.4985041, -98.3086214)",7 hours 26 mins,482.5
"(38.5880306, -90.1387881)","(39.503235, -98.542957)",7 hours 40 mins,496.25
"(38.5883039, -90.1465627)","(38.8402805, -97.6114237)",6 hours 18 mins,429.375
"(38.5883039, -90.1465627)","(39.503235, -98.542957)",7 hours 34 mins,495.0
"(38.6244952, -90.1509429)","(39.2860997, -103.2754955)",10 hours 37 mins,745.625
"(38.6244952, -90.1509429)","(39.471671, -100.743482)",9 hours 2 mins,623.125
"(38.6244952, -90.1509429)","(39.756121, -99.323985)",8 hours 23 mins,546.875
"(38.6244952, -90.1509429)","(42.6829765, -89.0226793)",4 hours 40 mins,320.0
"(38.6268039, -90.1994097)","(36.7295295, -119.7088613)",1 day 4 hours,1960.0
"(38.6268039, -90.1994097)","(38.8402805, -97.6114237)",6 hours 11 mins,424.375
"(38.6268039, -90.1994097)","(38.917252, -97.21377)",5 hours 51 mins,401.25
"(38.6268039, -90.1994097)","(38.9194442, -97.371137)",5 hours 56 mins,408.75
"(38.6268039, -90.1994097)","(39.3351558, -98.7933509)",7 hours 35 mins,517.5
"(38.6268039, -90.1994097)","(39.471671, -100.743482)",8 hours 57 mins,620.0
"(38.6268039, -90.1994097)","(39.783235, -97.894926)",7 hours 11 mins,470.0
